City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,sandnessjoen,66.0217,12.6316,266.44,46,100,6.84,NO,1697936910
320,inyonga,-6.7167,32.0667,296.66,44,96,2.99,TZ,1697936910
321,huarmey,-10.0681,-78.1522,293.62,89,100,3.47,PE,1697936911
322,tongchuanshi,35.0806,109.0897,286.66,51,0,0.58,CN,1697936911
323,mount pearl,47.5166,-52.7813,290.84,98,100,6.26,CA,1697936911
324,karratha,-20.7377,116.8463,306.89,24,97,2.54,AU,1697936911
325,bengkulu,-3.8004,102.2655,298.97,78,100,0.43,ID,1697936912
326,fale old settlement,-9.3852,-171.2468,301.88,71,81,2.6,TK,1697936912
327,mae hong son,19.3003,97.9685,297.12,88,34,0.53,TH,1697936912
328,tongliao,43.6125,122.2653,284.82,35,0,2.1,CN,1697936912
329,maintirano,-18.0667,44.0167,297.57,80,0,2.67,MG,1697936912
330,trairi,-3.2778,-39.2689,299.13,84,96,4.77,BR,1697936666
331,barcelos,41.5388,-8.6151,289.18,82,100,1.9,PT,1697936913
332,cassilandia,-19.1133,-51.7342,300.49,46,0,2.81,BR,1697936913
333,tolanaro,-25.0319,46.9987,294.87,90,4,6.35,MG,1697936913
334,altar,30.7,-111.8167,303.55,24,86,4.09,MX,1697936914
335,berbera,10.4396,45.0143,301.07,67,83,3.77,SO,1697936914
336,heze,35.2431,115.4411,291.2,36,0,5.0,CN,1697936914
337,oskarshamn,57.2645,16.4484,281.47,95,100,4.49,SE,1697936914
338,arraial do cabo,-22.9661,-42.0278,293.88,78,100,3.63,BR,1697936914
339,lumphat,13.4878,106.9816,298.38,89,29,1.66,KH,1697936915
340,petrovsk,52.3064,45.3917,272.14,84,63,3.93,RU,1697936915
341,kailua-kona,19.6406,-155.9956,301.13,97,40,5.66,US,1697936817
342,sao joao da barra,-21.6403,-41.0511,294.02,85,100,3.02,BR,1697936915
343,sassandra,4.95,-6.0833,297.55,94,96,2.07,CI,1697936916
344,coquimbo,-29.9533,-71.3436,286.77,84,73,2.06,CL,1697936916
345,adrar,20.5022,-10.0711,300.13,23,3,3.19,MR,1697936916
346,constantia,44.1833,28.65,292.43,60,0,3.94,RO,1697936916
347,qarauyl,48.9451,79.255,279.77,75,100,3.93,KZ,1697936916
348,fukuecho,32.6881,128.8419,291.61,52,0,4.74,JP,1697936917
349,susuman,62.7833,148.1667,264.86,87,100,2.46,RU,1697936917
350,namtsy,62.7161,129.6658,266.74,84,92,5.23,RU,1697936917
351,vershino-darasunskiy,52.35,115.5167,274.49,50,100,1.08,RU,1697936917
352,marsa alam,25.0757,34.8918,299.26,50,0,4.1,EG,1697936621
353,kuta,-8.7233,115.1723,299.12,94,40,2.24,ID,1697936918
354,mata-utu,-13.2816,-176.1745,301.03,79,100,5.1,WF,1697936918
355,flin flon,54.7682,-101.865,277.41,62,100,1.24,CA,1697936918
356,nieuw amsterdam,5.8833,-55.0833,302.05,83,10,4.59,SR,1697936918
357,nar'yan-mar,67.6713,53.087,273.05,84,98,10.33,RU,1697936919
358,las khorey,11.1595,48.1967,299.87,67,94,1.52,SO,1697936919
359,rocha,-34.4833,-54.3333,288.2,89,14,4.87,UY,1697936919
360,aitape,-3.1374,142.3475,302.95,66,98,1.28,PG,1697936919
361,bayanaul,50.7889,75.6956,276.11,48,100,2.65,KZ,1697936920
362,lamu,-2.2717,40.902,298.27,77,15,5.46,KE,1697936920
363,newman,37.3138,-121.0208,296.28,57,48,1.79,US,1697936920
364,tralee,52.2704,-9.7026,283.03,86,99,1.06,IE,1697936920
365,shuangjiang,26.1547,109.7138,290.4,59,0,1.41,CN,1697936920
366,aguas formosas,-17.0822,-40.9358,295.62,80,95,3.53,BR,1697936921
367,nagqu,31.5,92.0,269.24,79,35,1.41,CN,1697936921
368,holualoa,19.6228,-155.9522,299.06,98,40,5.66,US,1697936921
369,kaa-khem,51.6833,94.7333,278.03,71,100,2.68,RU,1697936921
370,wynyard,-41.0,145.7167,287.86,69,61,0.7,AU,1697936922
371,calvinia,-31.4707,19.776,287.05,67,100,7.2,ZA,1697936922
372,plymouth,41.8334,-70.8328,287.58,93,100,7.72,US,1697936922
373,mhamid,29.82,-5.72,294.21,31,5,5.36,MA,1697936922
374,foumban,5.7291,10.9001,291.23,84,89,1.09,CM,1697936922
375,santa ana,33.7456,-117.8678,301.44,68,20,3.09,US,1697937283
376,ryki,51.6257,21.9327,284.59,44,100,2.73,PL,1697936923
377,faqus,30.7301,31.8018,293.84,83,0,2.53,EG,1697936923
378,biloela,-24.4167,150.5,303.26,35,4,3.28,AU,1697936923
379,fortuna,40.5982,-124.1573,292.0,71,0,0.45,US,1697936923
380,klyuchi,52.2667,79.1667,277.0,61,100,3.89,RU,1697936924
381,dingcheng,32.1272,115.0394,290.31,40,2,1.75,CN,1697936924
382,itambe,-15.245,-40.6244,294.17,97,78,1.9,BR,1697936723
383,pisz,53.6274,21.8125,281.58,98,100,2.12,PL,1697936924
384,sumberpucung,-8.1586,112.4829,303.01,51,5,1.43,ID,1697936925
